a,a,743227,
az,az,264701,
és,és,237641,
A,a,149654,
hogy,hogy,146462,
is,is,127759,
nem,nem,108558,
egy,egy,77218,
Az,az,50243,
meg,meg,45725,
de,de,38071,
vagy,vagy,37923,
csak,csak,34151,
volt,van,32687,
már,már,32156,
van,van,31147,
ha,ha,29921,
még,még,27896,
kell,kell,27485,
el,el,26428,
azt,az,24874,
mint,mint,24716,
ez,ez,24604,
minden,minden,19481,
sem,sem,19256,
ki,ki,19173,
olyan,olyan,18251,
mert,mert,18063,
lehet,van__lesz,17413,
akkor,az,17230,
így,így,16813,
pedig,pedig,16145,
Ha,ha,14693,
majd,majd,14652,
ami,ami,14202,
úgy,úgy,13990,
nagyon,nagyon,13519,
ezt,ez,13423,
s,s,13415,
után,után,13410,
aki,aki,13172,
nagy,nagy,13158,
Ez,ez,13050,
fel,fel,12894,
jó,jó,12811,
több,sok,12577,
szerint,szerint,12424,
Nem,nem,12133,
be,be,11641,
két,két,11591,
új,új,10959,
amit,ami,10796,
lesz,lesz,10635,
első,első,10548,
hanem,hanem,10420,
között,között,10126,
amely,amely,9800,
arra,az,9731,
most,most,9581,
itt,itt,9468,
amikor,amikor,9305,
más,más,9293,
egyik,egyik,8999,
én,én,8986,
magyar,magyar,8811,
sok,sok,8769,
De,de,8646,
akik,aki,8573,
saját,saját,8562,
alatt,alatt,8517,
volna,van,8449,
ember,ember,8413,
számára,számára,8395,
illetve,illetve,8333,
mindig,mindig,8051,
ahol,ahol,8049,
azonban,azonban,7998,
ne,ne,7795,
való,való,7724,
ő,ő,7581,
által,által,7577,
Egy,egy,7452,
jól,jól,7358,
nincs,nincs,7351,
valamint,valamint,7323,
kis,kis,7266,
annak,az,7243,
mellett,mellett,7230,
ilyen,ilyen,7172,
miatt,miatt,7073,
azért,azért,6953,
le,le,6665,
előtt,előtt,6531,
ott,ott,6503,
És,és,6376,
hiszen,hiszen,6343,
át,át,6296,
egész,egész,6288,
mi,ami|mi,6077,
során,során,6031,
Isten,isten,5906,
vannak,van,5820,
akár,akár,5807,
nélkül,nélkül,5707,
őket,ők,5616,
milyen,milyen|amilyen,5499,
ezért,ezért,5430,
lett,lesz,5422,
teljes,teljes,5378,
vagyok,van,5369,
másik,másik,5363,
mely,amely,5356,
fontos,fontos,5300,
nap,nap,5202,
együtt,együtt,5047,
alapján,alapján,4997,
legyen,van__lesz,4986,
inkább,inkább,4864,
lenne,van__lesz,4858,
év,év,4822,
mind,mind,4733,
néhány,néhány,4677,
emberek,ember,4631,
azok,az,4595,
viszont,viszont,4591,
áll,áll,4526,
ezzel,ez,4480,
tehát,tehát,4458,
ezek,ez,4410,
nagyobb,nagy,4404,
ahogy,ahogy,4377,
maga,maga,4361,
teljesen,teljesen,4355,
egyre,egyre,4320,
hogyan,ahogyan|hogyan,4318,
valami,valami,4299,
amelyek,amely,4269,
esetén,esetén,4255,
ma,ma,4254,
ennek,ez,4248,
például,például,4211,
e,e,4198,
megfelelő,megfelel,4137,
éppen,éppen,4101,
mi,mi,4095,
voltak,van,4094,
vele,ő,4069,
éves,éves,4061,
túl,túl,4049,
három,három,4049,
igen,igen,4021,
benne,ő,4017,
elég,elég,4006,
esetben,eset,4000,
neki,ő,3987,
mondta,mond,3971,
módon,mód,3947,
magát,maga,3937,
kellett,kell,3897,
fog,fog,3877,
Magyar,magyar,3872,
világ,világ,3856,
tovább,tovább,3856,
azzal,az,3847,
újra,újra,3839,
szó,szó,3790,
közül,közül,3762,
felé,felé,3760,
erre,ez,3760,
arról,az,3759,
szükséges,szükséges,3756,
aztán,aztán,3755,
talán,talán,3723,
adott,ad,3708,
belül,belül,3697,
idő,idő,3664,
Ezt,ez,3631,
keresztül,keresztül,3617,
Így,így,3595,
mégis,mégis,3552,
különböző,különböző,3548,
vissza,vissza,3545,
Én,én,3520,
tudja,tud,3488,
ebben,ez,3476,
ellen,ellen,3468,
abban,az,3461,
emberi,emberi,3459,
szinte,szinte,3455,
képes,képes,3435,
részt,rész,3416,
óta,óta,3392,
rá,rá,3386,
mindenki,mindenki,3384,
össze,össze,3350,
miért,miért|amiért,3334,
mivel,mivel,3329,
se,se,3290,
Minden,minden,3280,
mindent,minden,3275,
tudom,tud,3261,
legnagyobb,nagy,3255,
került,kerül,3236,
második,második,3230,
mikor,amikor|mikor,3211,
ugyanis,ugyanis,3210,
tud,tud,3187,
kicsit,kicsit,3183,
élet,élet,3179,
jobban,jobban,3174,
hozzá,hozzá,3159,
szép,szép,3131,
Azt,az,3115,
mit,mit,3097,
található,található,3094,
pár,pár,3091,
egyes,egyes,3089,
közben,közben,3080,
vagyunk,van,3019,
nekem,én,3014,
része,rész,3013,
egyetlen,egyetlen,3007,
Nagyon,nagyon,3007,
hosszú,hosszú,3004,
valaki,valaki,3003,
míg,míg,2973,
sokkal,sok,2962,
jobb,jó,2954,
te,te,2942,
persze,persze,2935,
semmi,semmi,2912,
Csak,csak,2912,
Ennek,ez,2900,
stb,stb,2894,
kerül,kerül,2883,
bár,bár,2872,
lévő,van__lesz,2861,
érdemes,érdemes,2823,
érdekében,érdekében,2811,
kívül,kívül,2800,
utolsó,utolsó,2786,
pl,pl,2778,
melyek,amely,2762,
Amikor,amikor,2742,
Ezek,ez,2741,
szemben,szemben,2736,
legjobb,jó,2733,
mai,mai,2728,
legalább,legalább|alább,2725,
egyéb,egyéb,2720,
közös,közös,2703,
azokat,az,2700,
sikerült,sikerül,2691,
következő,következik,2691,
szabad,szabad,2681,
című,című,2669,
egyszer,egyszer,2642,
amelyet,amely,2642,
segítségével,segítség,2637,
régi,régi,2611,
jelent,jelent,2609,
további,további,2595,
rossz,rossz,2588,
ezer,ezer,2573,
Jézus,Jézus|jézus,2542,
ahhoz,az,2539,
újabb,új,2530,
biztos,biztos,2530,
Most,most,2530,
szakmai,szakmai,2523,
számos,számos,2517,
igazán,igazán,2512,
magas,magas,2511,
azaz,azaz,2501,
elő,elő,2495,
először,először,2489,
kapcsolatban,kapcsolat,2487,
mintha,mintha,2475,
fél,fél,2469,
belső,belső,2465,
általában,általában,2453,
szóló,szól,2450,
dolog,dolog,2449,
teszi,tesz,2442,
rendszer,rendszer,2438,
sőt,sőt,2417,
helyi,helyi,2413,
igazi,igazi,2387,
Ő,ő,2377,
hazai,hazai,2374,
bizonyos,bizonyos,2371,
elmúlt,elmúlik,2370,
egyszerű,egyszerű,2362,
történő,történik,2359,
végén,vég,2358,
éve,év,2349,
szükség,szükség,2346,
soha,soha,2342,
Itt,itt,2340,
Péter,Péter,2339,
történt,történik,2335,
város,város,2328,
