word, real stem, stem guess, correct?
a, a, a, true
az, az, a, false
és, és, és, true
a, a, a, true
hogy, hogy, hogy, true
is, is, is, true
nem, nem, nem, true
egy, egy, egy, true
az, az, a, false
meg, meg, meg, true
de, de, de, true
vagy, vagy, vagy, true
csak, csak, csak, true
volt, van, volt, false
már, már, már, true
van, van, van, true
ha, ha, ha, true
még, még, még, true
kell, kell, kell, true
el, el, el, true
azt, az, az, true
mint, mint, mint, true
ez, ez, ez, true
minden, minden, minden, true
sem, sem, sem, true
ki, ki, ki, true
olyan, olyan, olyan, true
mert, mert, mert, true
lehet, van__lesz, lehet, false
akkor, az, a, false
így, így, így, true
pedig, pedig, pedig, true
ha, ha, ha, true
majd, majd, majd, true
ami, ami, a, false
úgy, úgy, úgy, true
nagyon, nagyon, nagyon, true
ezt, ez, ez, true
s, s, s, true
után, után, után, true
aki, aki, a, false
nagy, nagy, nagy, true
ez, ez, ez, true
fel, fel, fel, true
jó, jó, jó, true
több, sok, több, false
szerint, szerint, szerint, true
nem, nem, nem, true
be, be, be, true
két, két, két, true
új, új, új, true
amit, ami, ami, true
lesz, lesz, lesz, true
első, első, el, false
hanem, hanem, ha, false
között, között, között, true
amely, amely, a, false
arra, az, a, false
most, most, most, true
itt, itt, itt, true
amikor, amikor, ami, false
más, más, más, true
egyik, egyik, egy, false
én, én, én, true
magyar, magyar, magyar, true
sok, sok, sok, true
de, de, de, true
akik, aki, aki, true
saját, saját, saját, true
alatt, alatt, a, false
volna, van, volna, false
ember, ember, ember, true
számára, számára, számára, true
illetve, illetve, illetve, true
mindig, mindig, mindig, true
ahol, ahol, a, false
azonban, azonban, az, false
ne, ne, ne, true
való, való, való, true
ő, ő, ő, true
által, által, által, true
egy, egy, egy, true
jól, jól, jó, false
nincs, nincs, nincs, true
valamint, valamint, valamint, true
kis, kis, ki, false
annak, az, a, false
mellett, mellett, mellett, true
ilyen, ilyen, ilyen, true
miatt, miatt, miatt, true
azért, azért, az, false
le, le, le, true
előtt, előtt, el, false
ott, ott, ott, true
és, és, és, true
hiszen, hiszen, hiszen, true
át, át, át, true
egész, egész, egész, true
mi, ami|mi, mi, false
során, során, során, true
isten, isten, is, false
vannak, van, van, true
akár, akár, a, false
nélkül, nélkül, nélkül, true
őket, ők, ő, false
milyen, milyen|amilyen, milyen, false
ezért, ezért, ez, false
lett, lesz, lett, false
teljes, teljes, teljes, true
vagyok, van, vagy, false
másik, másik, más, false
mely, amely, mely, false
fontos, fontos, fontos, true
nap, nap, nap, true
együtt, együtt, egy, false
alapján, alapján, a, false
legyen, van__lesz, legyen, false
inkább, inkább, inkább, true
lenne, van__lesz, lenne, false
év, év, év, true
mind, mind, mind, true
néhány, néhány, néhány, true
emberek, ember, ember, true
azok, az, az, true
